time,open,high,low,close,volume
2026-07-21 04:05:00,4023.53,4027.9,4023.53,4027.1,105
2026-07-21 04:06:00,4026.98,4028.95,4026.98,4027.5,104
2026-07-21 04:07:00,4027.58,4027.58,4026.24,4027.43,92
2026-07-21 04:08:00,4027.46,4028.5,4027.1,4028.28,92
2026-07-21 04:09:00,4028.39,4028.82,4026.65,4027.09,92
2026-07-21 04:10:00,4027.22,4028.62,4026.78,4027.19,110
2026-07-21 04:11:00,4027.18,4028.45,4026.9,4026.9,94
2026-07-21 04:12:00,4026.89,4028.0,4026.34,4027.26,88
2026-07-21 04:13:00,4027.11,4028.83,4026.5,4028.06,92
2026-07-21 04:14:00,4028.02,4029.55,4027.68,4028.74,109
2026-07-21 04:15:00,4028.72,4028.79,4026.83,4028.41,108
2026-07-21 04:16:00,4028.42,4031.11,4027.1,4028.7,102
2026-07-21 04:17:00,4028.77,4030.07,4027.56,4028.31,99
2026-07-21 04:18:00,4028.41,4031.47,4028.41,4030.55,93
2026-07-21 04:19:00,4030.51,4035.45,4027.95,4034.87,113
2026-07-21 04:20:00,4034.04,4034.04,4031.59,4033.06,111
2026-07-21 04:21:00,4033.03,4033.37,4031.12,4031.15,94
2026-07-21 04:22:00,4031.1,4031.41,4029.84,4030.04,89
2026-07-21 04:23:00,4030.03,4030.09,4026.51,4026.56,102
2026-07-21 04:24:00,4026.21,4028.79,4026.13,4027.8,84
2026-07-21 04:25:00,4027.82,4029.47,4027.48,4029.43,84
2026-07-21 04:26:00,4029.41,4031.32,4028.88,4030.95,98
2026-07-21 04:27:00,4030.82,4031.28,4028.43,4028.63,98
2026-07-21 04:28:00,4028.62,4030.21,4028.44,4029.36,90
2026-07-21 04:29:00,4029.34,4030.21,4027.62,4027.93,95
2026-07-21 04:30:00,4027.94,4029.6,4027.14,4027.39,110
2026-07-21 04:31:00,4027.33,4030.16,4026.84,4029.66,87
2026-07-21 04:32:00,4029.63,4029.84,4028.44,4029.82,91
2026-07-21 04:33:00,4029.77,4030.0,4026.74,4028.3,92
2026-07-21 04:34:00,4028.33,4030.55,4028.22,4030.18,87
2026-07-21 04:35:00,4030.0,4030.62,4028.02,4028.08,90
2026-07-21 04:36:00,4028.06,4029.61,4027.97,4028.57,92
2026-07-21 04:37:00,4028.59,4028.7,4026.46,4026.46,96
2026-07-21 04:38:00,4026.21,4026.69,4024.93,4025.13,103
2026-07-21 04:39:00,4025.43,4025.48,4022.9,4023.55,108
2026-07-21 04:40:00,4023.53,4025.2,4023.41,4025.01,92
2026-07-21 04:41:00,4025.0,4025.41,4024.05,4025.04,92
2026-07-21 04:42:00,4024.97,4025.51,4024.52,4025.29,83
2026-07-21 04:43:00,4025.43,4026.16,4024.72,4026.16,94
2026-07-21 04:44:00,4026.19,4026.19,4024.22,4024.22,81
2026-07-21 04:45:00,4024.21,4024.72,4022.36,4023.2,94
2026-07-21 04:46:00,4023.18,4024.22,4022.75,4024.07,92
2026-07-21 04:47:00,4024.02,4025.3,4024.0,4024.33,90
2026-07-21 04:48:00,4024.34,4026.52,4024.34,4025.74,91
2026-07-21 04:49:00,4025.83,4026.27,4025.46,4025.5,74
2026-07-21 04:50:00,4025.48,4026.06,4024.74,4025.71,85
2026-07-21 04:51:00,4025.64,4026.17,4024.91,4025.76,79
2026-07-21 04:52:00,4025.79,4027.76,4025.79,4026.56,95
2026-07-21 04:53:00,4026.53,4026.8,4025.51,4025.94,91
2026-07-21 04:54:00,4025.97,4028.01,4025.97,4027.87,80
2026-07-21 04:55:00,4027.81,4027.81,4024.96,4025.71,89
2026-07-21 04:56:00,4025.73,4025.81,4022.37,4023.42,96
2026-07-21 04:57:00,4023.44,4023.51,4022.79,4023.3,81
2026-07-21 04:58:00,4023.32,4023.39,4021.27,4021.29,93
2026-07-21 04:59:00,4021.28,4023.31,4021.27,4023.0,87
2026-07-21 05:00:00,4023.02,4024.07,4022.43,4022.74,83
2026-07-21 05:01:00,4022.73,4023.94,4022.47,4023.02,86
2026-07-21 05:02:00,4023.02,4023.53,4021.86,4022.65,82
2026-07-21 05:03:00,4022.65,4023.96,4022.58,4023.89,66
2026-07-21 05:04:00,4023.8,4023.8,4022.16,4022.53,84
2026-07-21 05:05:00,4022.51,4024.03,4022.16,4022.98,82
2026-07-21 05:06:00,4023.02,4025.89,4022.93,4025.89,88
2026-07-21 05:07:00,4025.88,4026.28,4025.34,4025.41,83
2026-07-21 05:08:00,4025.4,4026.11,4025.32,4025.66,77
